Star ID,V (mag),B-V color (mag),Parallax (milliarcsec),Parallax Uncertainty (milliarcsec)
453.00,6.06,0.40,25.4,53.0
455.00,4.37,0.89,20.8,119.0
456.00,5.67,0.56,39.0,61.0
456.00,5.54,0.57,39.0,61.0
456.10,11.09,1.47,45.7,110.0
457.00,13.16,1.07,6.7,38.0
458.00,5.28,-0.02,63.0,161.0
458.01,12.49,0.90,38.6,120.0
459.00,8.29,0.66,22.8,109.0
459.10,10.32,1.50,108.4,150.0
459.11,14.39,1.62,48.8,34.0
460.00,9.09,0.57,16.3,94.0
461.00,6.81,0.69,38.3,150.0
462.00,13.12,0.54,14.4,54.0
462.10,9.00,1.08,30.6,49.0
462.10,9.71,1.09,30.6,49.0
463.00,9.72,1.29,26.9,150.0
463.01,16.19,0.72,50.2,41.0
464.00,4.87,0.61,96.5,37.0
464.01,15.79,1.98,117.7,40.0
466.00,8.27,0.92,47.0,109.0
468.00,4.01,0.02,37.8,150.0
469.00,9.04,0.62,0.1,150.0
470.00,13.49,1.53,44.4,248.0
471.00,5.55,1.55,11.2,149.0
472.00,5.30,-0.01,13.8,72.0
473.00,5.58,0.60,35.9,87.0
474.00,12.55,1.47,56.4,81.0
474.10,8.40,0.57,7.4,97.0
475.00,8.90,0.86,36.7,65.0
475.10,11.46,1.39,73.2,150.0
477.00,3.04,1.42,23.0,55.0
478.00,9.34,1.46,27.6,241.0
479.00,6.34,0.73,85.2,90.0
479.01,14.05,1.68,46.2,36.0
479.10,8.11,0.75,26.7,150.0
480.00,8.15,0.96,31.1,150.0
481.00,9.41,1.49,86.9,32.0
483.00,9.28,0.65,16.9,92.0
484.00,8.81,0.93,42.3,97.0
485.00,8.87,0.91,28.6,150.0
488.00,5.20,0.60,81.3,113.0
489.12,10.39,1.21,30.2,150.0
490.00,4.71,1.53,8.3,87.0
491.01,9.07,0.96,31.1,114.0
492.00,4.09,0.03,48.1,173.0
492.02,8.29,0.29,37.0,160.0
492.10,7.95,0.81,44.0,199.0
493.00,4.52,0.12,22.5,110.0
494.00,4.89,-0.03,27.9,137.0
495.00,5.83,0.15,14.1,127.0
497.01,10.10,1.22,20.3,85.0
498.00,6.49,0.46,25.3,117.0
499.00,5.35,0.39,22.0,173.0
500.00,9.38,1.39,62.2,41.0
500.00,8.73,1.40,62.2,41.0
500.01,10.20,1.36,36.8,55.0
500.01,9.59,1.37,36.8,55.0
501.00,4.28,-0.06,27.6,109.0
501.01,5.89,0.58,29.6,52.0
501.02,17.54,1.83,43.3,52.0
503.00,5.14,0.10,13.7,161.0
504.00,13.21,1.52,52.6,23.0
504.10,8.78,1.18,43.3,97.0
504.10,8.86,1.18,43.3,97.0
506.00,6.55,1.23,7.4,84.0
506.01,12.91,-0.07,19.3,134.0
507.00,7.32,1.06,12.5,150.0
508.00,5.25,1.27,39.9,173.0
509.00,10.43,0.47,18.1,97.0
512.00,4.75,0.45,32.5,106.0
512.10,11.27,1.03,64.0,150.0
513.00,7.63,0.67,23.0,249.0
513.01,15.76,0.75,64.0,39.0
514.00,12.96,1.70,102.4,27.0
515.00,5.16,0.88,11.1,72.0
515.01,14.90,1.68,27.3,41.0
516.00,9.87,0.88,16.3,110.0
